WattleOS RLS Security Audit — Full Report
Executive Summary
186 tables across 66 migrations. 186 ENABLE ROW LEVEL SECURITY statements — every table has RLS enabled. However, the audit uncovered 6 CRITICAL issues, 5 HIGH issues, and numerous MEDIUM/LOW findings across RLS policies, SECURITY DEFINER functions, and server-side admin client usage.

CRITICAL FINDINGS
CRITICAL 1: fee_notice_deliveries — RLS NOT ENABLED
Migration 00045 — This table has no ALTER TABLE ... ENABLE ROW LEVEL SECURITY statement. Any authenticated user can read/write all delivery records across all tenants. Contains parent contact data and fee amounts.

CRITICAL 2: oauth_state_tokens — Wide-open ALL policy
Migration 00048 — The ALL policy uses USING(true) WITH CHECK(true) without restricting to service_role. Any authenticated user can INSERT/UPDATE/DELETE any tenant's OAuth CSRF tokens. This is a session hijack vector.

CRITICAL 3: create_class_broadcast() — SECURITY DEFINER with no tenant validation
Migration 00006 — This function accepts p_tenant_id as a parameter and uses it directly to insert into message_threads, messages, and message_recipients. It bypasses RLS. A caller can inject data into any tenant's messaging system (which handles child/family communications).

CRITICAL 4: checkRatioBreaches() / checkIncidentNqaEscalations() — Exported as public server actions with no auth
Files: ratios.ts, incidents.ts — Use admin client to query ALL tenants' ratio breaches and serious incidents (including child injury/abuse reports). Exported as "use server" functions callable by any user. Platform-wide exposure of child safety data.

CRITICAL 5: retryWebhookEvent() — No tenant scoping on admin client
File: webhooks.ts — Looks up webhook events by ID only, no .eq("tenant_id", ...). A staff member at Tenant A could retry a webhook belonging to Tenant B, potentially triggering cross-tenant payment processing.

CRITICAL 6: resolveRecipientIds() — Missing tenant_id on admin client queries
File: push-notifications.ts — Queries class_enrollments and program_bookings by class_id/program_id only, no tenant filter. Could leak guardian IDs across tenants and send notifications to wrong-school parents.

HIGH FINDINGS
HIGH 1: LIMIT 1 multi-tenant pattern — Non-deterministic tenant scoping
13+ tables across migrations 00040, 00059, 00060, 00062, 00063, 00064 use:


tenant_id = (SELECT tenant_id FROM tenant_members WHERE user_id = auth.uid() LIMIT 1)
For users belonging to multiple tenants, LIMIT 1 without ORDER BY is non-deterministic. The user could be scoped to the wrong tenant, seeing School A's data while logged into School B. Affected tables include naplan_domain_results (student academic results), visitor_sign_in_records, contractor_sign_in_records, and all accreditation tables.

HIGH 2: notification_delivery_log / notification_topic_prefs — No tenant scoping
Migration 00031 — SELECT policy is user_id = auth.uid() only. A multi-tenant user sees delivery logs and notification preferences from ALL their tenants, not just the current one.

HIGH 3: counsellor_case_notes — Permission check is app-layer only
Migration 00018 — RLS policy is tenant_id = current_tenant_id() with no permission gate. Any authenticated user in the tenant can read all counsellor case notes (professional privilege material) if they bypass the app layer.

HIGH 4: tuckshop_* tables (5 tables) — RLS enabled, zero policies
Migration 00046 — All 5 tuckshop tables have RLS enabled but NO policies defined. This means all access is denied (including via anon key). Only service_role can access. If any feature tries to use the regular Supabase client, it silently fails. tuckshop_order_items also has no tenant_id column.

HIGH 5: next_invoice_number() — SECURITY DEFINER leaks invoice count
Migration 00028 — Accepts any p_tenant_id, bypasses RLS. Caller can learn invoice count for any school.

FULL TABLE AUDIT
Table	Migration	RLS	Policies	Tenant-Scoped	Issues
tenants	00001	YES	SELECT	YES (id = current_tenant_id())	OK
users	00001	YES	SELECT x2, UPDATE	YES (auth.uid() + same-tenant)	OK
permissions	00001	YES	SELECT	N/A (global ref)	OK
roles	00001	YES	ALL	YES (current_tenant_id())	OK
role_permissions	00001	YES	ALL	YES (current_tenant_id())	OK
tenant_users	00001	YES	SELECT x2, ALL	YES (current_tenant_id())	OK
audit_logs	00001	YES	SELECT	YES + permission	OK
tenant_setup_tokens	00003	YES	ALL	YES (platform admin)	OK
incidents	00004	YES	ALL, SELECT	YES + guardian	OK
medical_management_plans	00004	YES	ALL, SELECT	YES + guardian	OK
medication_authorisations	00004	YES	ALL, SELECT	YES + guardian	OK
medication_administrations	00004	YES	ALL, SELECT	YES + guardian	OK
staff_compliance_profiles	00004	YES	ALL	YES	OK
staff_certificates	00004	YES	ALL	YES	OK
floor_sign_ins	00004	YES	ALL	YES	OK
ratio_logs	00004	YES	ALL	YES	OK
service_philosophies	00004	YES	ALL	YES	OK
qip_element_assessments	00004	YES	ALL	YES	OK
qip_goals	00004	YES	ALL	YES	OK
qip_evidence	00004	YES	ALL	YES	OK
immunisation_records	00004	YES	ALL, SELECT	YES + guardian	OK
ccs_absence_type_codes	00004	YES	SELECT	N/A (global ref)	OK
ccs_weekly_bundles	00004	YES	ALL	YES	OK
ccs_session_reports	00004	YES	ALL	YES	OK
excursions	00004	YES	ALL	YES	OK
excursion_risk_assessments	00004	YES	ALL	YES	OK
excursion_consents	00004	YES	ALL x2	YES + guardian	OK
excursion_headcounts	00004	YES	ALL	YES	OK
policies	00004	YES	ALL	YES	OK
policy_versions	00004	YES	ALL	YES	OK
policy_acknowledgements	00004	YES	ALL	YES	OK
complaints	00004	YES	ALL	YES	OK
complaint_responses	00004	YES	ALL	YES	OK
montessori_materials	00004	YES	SELECT, ALL	YES (dual: global + tenant)	OK
lesson_records	00004	YES	ALL, SELECT	YES + guardian	OK
work_cycle_sessions	00004	YES	ALL	YES	OK
work_cycle_material_selections	00004	YES	ALL	YES	OK
mqap_criteria	00004	YES	SELECT	N/A (global ref)	OK
mqap_assessments	00004	YES	ALL	YES	OK
mqap_goals	00004	YES	ALL	YES	OK
tenant_user_permission_overrides	00005	YES	ALL, SELECT	YES (via join)	OK
device_push_tokens	00006	YES	ALL	PARTIAL (auth.uid() only)	MEDIUM — no tenant_id check
emergency_drills	00007	YES	ALL	YES	OK
emergency_drill_participants	00007	YES	ALL	YES	OK
emergency_zones	00008	YES	ALL	YES	OK
emergency_events	00008	YES	ALL	YES	OK
emergency_event_zones	00008	YES	ALL	YES	OK
emergency_student_accountability	00008	YES	ALL	YES	OK
emergency_staff_accountability	00008	YES	ALL	YES	OK
emergency_event_log	00008	YES	ALL	YES	OK
roster_templates	00011	YES	ALL	YES	OK
roster_template_shifts	00011	YES	ALL	YES	OK
roster_weeks	00011	YES	ALL	YES	OK
shifts	00011	YES	ALL	YES	OK
staff_availability	00011	YES	ALL	YES	OK
leave_requests	00011	YES	ALL	YES	OK
shift_swap_requests	00011	YES	ALL	YES	OK
shift_coverage_requests	00011	YES	ALL	YES	OK
individual_learning_plans	00012	YES	ALL, SELECT	YES + guardian	OK
ilp_goals	00012	YES	ALL, SELECT	YES + guardian (via join)	OK
ilp_strategies	00012	YES	ALL, SELECT	YES + guardian (via join)	OK
ilp_reviews	00012	YES	ALL, SELECT	YES + guardian (via join)	OK
ilp_collaborators	00012	YES	ALL, SELECT	YES + guardian (via join)	OK
ilp_evidence	00012	YES	ALL, SELECT	YES + guardian (via join)	OK
transition_statements	00012	YES	ALL, SELECT	YES + guardian	OK
daily_care_logs	00013	YES	ALL, SELECT	YES + guardian (shared)	OK
daily_care_entries	00013	YES	ALL, SELECT	YES + guardian (via join)	OK
daily_care_sleep_checks	00013	YES	SELECT, INSERT	YES + guardian	OK — immutable
photo_sessions	00015	YES	ALL (implicit)	YES	Minor — no WITH CHECK
person_photos	00015	YES	ALL (implicit)	YES	Minor — no WITH CHECK
id_card_templates	00015	YES	ALL (implicit)	YES	Minor — no WITH CHECK
nccd_register_entries	00016	YES	ALL (implicit)	YES	OK — staff-only by design
nccd_evidence_items	00016	YES	ALL (implicit)	YES	OK
sign_in_out_records	00017	YES	ALL	YES (raw JWT, not helper fn)	MEDIUM — inconsistent
wellbeing_flags	00018	YES	ALL (implicit)	YES	OK
student_referrals	00018	YES	ALL (implicit)	YES	OK
counsellor_case_notes	00018	YES	ALL (implicit)	YES	HIGH — no permission gate
wellbeing_check_ins	00018	YES	ALL (implicit)	YES	OK
pastoral_care_records	00018	YES	ALL (implicit)	YES	OK
sick_bay_visits	00019	YES	ALL	YES	OK
three_period_lessons	00020	YES	ALL	YES	OK
student_sensitive_periods	00020	YES	ALL	YES	OK
bus_routes	00021	YES	ALL	YES (JWT)	OK
pickup_authorizations	00021	YES	ALL	YES (JWT)	OK
student_dismissal_methods	00021	YES	ALL	YES (JWT)	OK
dismissal_records	00021	YES	ALL	YES (JWT)	OK
interview_sessions	00022	YES	ALL	YES (TM)	OK
interview_slots	00022	YES	ALL	YES (TM)	OK
interview_bookings	00022	YES	ALL	YES (TM)	OK
absence_monitoring_config	00023	YES	SELECT, ALL	YES + permission	OK
absence_monitoring_flags	00023	YES	SELECT, INSERT, UPDATE	YES + permission	No DELETE
absence_follow_up_log	00023	YES	SELECT, INSERT	YES + permission	No UPDATE/DELETE — audit
volunteers	00024	YES	SELECT, INSERT, UPDATE	YES + permission	No DELETE (WWCC data)
volunteer_assignments	00024	YES	SELECT, INSERT, UPDATE, DELETE	YES + permission	OK
material_shelf_locations	00025	YES	ALL	YES (current_tenant_id())	OK
material_inventory_items	00025	YES	ALL	YES (current_tenant_id())	OK
normalization_observations	00026	YES	ALL	YES (current_setting)	OK
normalization_goals	00026	YES	ALL	YES (current_setting)	OK
absence_followup_config	00027	YES	SELECT, ALL	YES + permission	OK
absence_followup_alerts	00027	YES	SELECT, INSERT, UPDATE	YES + permission	No DELETE
absence_followup_notifications	00027	YES	SELECT, INSERT, UPDATE	YES + permission	No DELETE
fee_schedules	00028	YES	ALL	YES (current_setting)	OK
invoices	00028	YES	ALL	YES (current_setting)	OK
invoice_line_items	00028	YES	ALL	YES (current_setting)	OK
payments	00028	YES	ALL	YES (current_setting)	OK
stripe_customers	00028	YES	ALL	YES (current_setting)	OK
sms_gateway_config	00030	YES	SELECT, UPDATE, INSERT	Implicit (via permission)	MEDIUM — no explicit tenant_id
sms_messages	00030	YES	SELECT	Implicit (via permission)	MEDIUM — SELECT only, no tenant_id guard
notification_dispatches	00031	YES	SELECT, ALL (svc)	YES (TM)	OK
notification_delivery_log	00031	YES	SELECT, ALL (svc)	NO — auth.uid() only	HIGH — cross-tenant leak
notification_topic_prefs	00031	YES	ALL	NO — auth.uid() only	HIGH — cross-tenant leak
recurring_billing_setups	00032	YES	ALL (implicit)	YES (TM)	No WITH CHECK
recurring_billing_schedules	00032	YES	ALL (implicit)	YES (TM)	No WITH CHECK
billing_payment_attempts	00032	YES	ALL (implicit)	YES (TM)	No WITH CHECK
billing_failures	00032	YES	ALL (implicit)	YES (TM)	No WITH CHECK
school_events	00033	YES	ALL (implicit)	YES (TM)	No WITH CHECK
event_rsvps	00033	YES	ALL (implicit)	YES (TM)	No WITH CHECK
